is_coffee_price,direction,price_vnd,price_change,certainty,content_date,_status,_tokens_used,url_hash
False,NONE,,,5,,ok,2215,0378154854331b7a33930dcdbe5464e49fcec7aa1e11eda2c0a0fbd7f1eb51e6
False,NONE,,,5,,ok,2185,29bf8775272dc1ec1beb8f62283e74e390851e42850d9b9a86d60e67d704a4d5
False,NONE,,,5,,ok,2195,980576ae262fe0f7f6b72da199d3df99eafd503e2d351e8cbcc70f5467aa2687
True,DOWN,121500.0,,2,2024-06-23,ok,2260,db4faaf68c498d3aea62d5515f59b487328edb5be977dd15a925d09c11949862
False,NONE,,,5,,ok,2211,5fcab9f6035030434226d84799c4d853a8569c4255d96d2bb524845a1f280db0
False,NONE,,,5,,ok,2062,bb5579491c55dd270375798ab01e857d095ecd4e4affcffa1de1ae024a163246
False,NONE,,,5,,ok,2189,f298430ffebfd4c159a425afb86db8fa94bace09d15fecd1b510cc1f69659484
False,NONE,,,5,,ok,2228,10c76ee6f578ade85688d130bce47e66bc68f676426434f9ffd86a1d2a5f5a3a
True,UP,120000.0,,2,2024-06-20,ok,2230,75fbc52abb590ff722df536b331466c95af673e636c60662d150e60de57f0914
False,NONE,,,5,,ok,2139,fbd6d883c20b53e14e96e7bdeb9a0c6ea879d47c1b75c8c086a0a7d8b2fc5b4b
False,NONE,,,5,,ok,2161,c55c9a7882320d8cd287b980355a60c52157803d14b1c8acbcf2d1d0b9a8144c
False,NONE,,,5,,ok,2178,70bb4f9c6ea189f19de0ae2a290fd6f864ff69b120090b7fc839ddc8ced5cf13
False,NONE,,,5,,ok,2189,0627acd629272144fb1421bafea731ca5dad687589b1406cad433671b2a4ada4
True,UP,120000.0,,2,2024-06-20,ok,2230,c71394433c689739c708b1ab79d736c7dbef6a1a729cc0b13d53d4370c865c89
False,NONE,,,5,,ok,2136,5b6ec2c230bb834156b4530b924d44c7fd33f26ba9dda38c1a5ea55a795ba0c0
True,DOWN,119800.0,,2,2024-06-20,ok,2189,146af6723a534671e5dacc831075d6199e5bd61e297f185a481b83d5004a99c9
False,NONE,,,5,,ok,2204,9dbaf96f205f1ed9e72b76286aa4e1b5e0ff7f0a137b6a3d41f660d9499f4cf7
True,UP,93500.0,600.0,2,2024-03-23,ok,2173,6832e2ab7660d2d63a157e597583d1f2726a3245a7ca25466409454396b46924
True,UP,93500.0,600.0,2,2026-03-23,ok,2182,a913f25b23e94d9c8fcec168a0126501fac4226b49167c65e23186ea659d7e0a
False,NONE,,,5,,ok,2129,f015cfc3073a39ccdb5cbcb3c21f3a3a317b5ba1bf5d280a024a4fef55ac92ec
False,NONE,,,5,,ok,2077,c28df4896d2baaa9fe282af9a630f5e87166c037d1e05fc7a31a34ca7810bd2e
False,NONE,,,5,,ok,2164,77f219915bdd249b5b4f2cadd1ab97e90888b662a337a3fa80765b71d0785eb8
False,NONE,,,5,,ok,2100,35c30bd926e308d47c5c5110b54e9b6c76e21b841af397b1fd4b6da94a3087cd
True,MIXED,93000.0,,2,2024-03-23,ok,2190,2e18a21574943a06bf33bfb71db674bcfdce69ea5d3e3a8a685230399d70e7a1
False,NONE,,,5,,ok,2209,17515f39a0317606acbf41eedf57e35c2503731e38a6ceaad0933eb4900e7fe1
False,NONE,,,5,,ok,2212,a303af880e1d0af0102859da87521521b04af582066b39c2d32cba619b60c6de
False,NONE,,,5,,ok,2213,28299f057a0615c401644a88c8ba2ec6e69ab54718b3b525e352917449b189ac
False,NONE,,,5,,ok,1861,3a6de85fc28065e2b2d2e08a56d579f1178ad256c3d09be1bffc96b882484e17
False,NONE,,,5,,ok,2203,361942473b125c9c872bbc7d22e3f458ad717fdc51c775b1e9cf1b09404354de
False,NONE,,,5,,ok,2206,a5e8b4e429f8cabe64690ed9a9ffa3aa374a6d059e9f9cdefcf65f665c452e77
False,NONE,,,5,,ok,2222,01d11dde4c7c8e5fdfc6e78695e6838acd1ff0d9fcc8c832a081e8119e4d7c77
False,NONE,,,5,,ok,2161,00ec0866657e70714b350a5c177ae0dc69b260a4f719cd4a1a7d134903c336a8
False,NONE,,,5,,ok,2153,17eaab5f89862f7c58563e3dcc5940557303af0a508bf8f45669a445e0192733
True,DOWN,126600.0,-1500.0,1,2024-07-24,ok,2263,6ffed9749c2ddd4f1c255150e624d8cebc31565ef248cde4528c39ba422c78c2
True,UP,93500.0,600.0,2,2026-03-23,ok,2180,ec851037105127a29451de3537a98715cd712b37fa613609448017391d0fd841
False,NONE,,,5,,ok,2058,6753ee48a68113293052442f35862dc5941ca75e08f969075102d363d5bb991c
True,MIXED,121000.0,,2,2024-06-13,ok,2224,8f45b3d3f5e04ec1b61ca899a93813fa85035c20843b8b7220f609f985f499da
False,NONE,,,5,,ok,2228,b3c76f900b664193423659012ce7d1eed67110b07c258b4743b5fd173db35808
True,UP,124000.0,500.0,1,2024-06-13,ok,2247,3f87d8672230f2e930e03eda05da881d91beaf5d3262bbe280195465e088b4f9
False,NONE,,,5,,ok,2012,c9664bff3691d66d3779b0d91a643e561a57beed1bb1eb0cf066c170afe07e24
False,NONE,,,5,,ok,2209,ff4d0315df590cfaadd130c209d73785f7bddd64cd1797e4cb9feeb1f8fd7380
False,NONE,,,5,,ok,2224,203b0f7fb2ad1356f9c9ada1bf49e9bc74cb796a24e7bb0c37de4335bbd376ff
False,NONE,,,5,,ok,2131,45c991444a69a781733dfb60e0e25c46222a9a54cf0da423c114ff375ed273e0
True,UP,116000.0,66000.0,1,2024-04-17,ok,2258,baadaa9d1db416232acb3740b1b534a4725428250691fabfb57564aa560ddcf0
True,STABLE,125500.0,,2,2024-06-10,ok,2236,28b6e2cd67e4ef8dece8fcd65accb2f6942e28be01e25130fa5e6877b203d10e
False,NONE,,,5,,ok,2183,d7a4779bd5712d0464c6c4477d6b3e7c1e43cfe71ee5c35a2a065df99c717bb0
True,MIXED,121500.0,-1600.0,2,2024-06-11,ok,2228,a151dbd8fed6464d3222aea60086238e49a589a59af9375308b7215675d33812
False,NONE,,,5,,ok,2155,6c0733d3cd02fbb6176c3b26cd75fcaa9c4cee8fc70d3cfc72bbd3efb5588d84
False,NONE,,,5,,ok,2155,884625a365131bdbae3b3ea249d5e1c4555de697cbf29fe64cf3c4e7eef88416
False,NONE,,,5,,ok,2160,68f5438d45037bca748e8d92fa50a24cdff0487778e6a7211d636d96f128fb92
True,STABLE,123000.0,,2,2024-06-10,ok,2242,e16c2862d532abf5ad57518b9bf1218e728ed511bd96a890ac316fd2ad3930a0
False,NONE,,,5,,ok,2178,c6ab33ac31268e508093aa5fcb17d5b3122377a78371b38ec81c2130a4f93c5c
False,NONE,,,5,,ok,2231,12bce2f9ca1cef8315de32ab4ae3ecea38c6cd474720d2be28e78d0d632a0aaf
False,NONE,,,5,,ok,2166,8ebd6b1a5ec6d24f1b8a392dd39d6b3ace2fb4691e07382b2b199fbd2806eea0
True,UP,123400.0,,2,2024-06-09,ok,2269,c787c4a051e7652b5d1bd8ab7cb4bfe31260d27d8e4ad1c87185e93686c54433
True,DOWN,123000.0,,1,2024-06-08,ok,2281,17bed70968c9d055b256f6e80364da1815a5fb902950057ba0b9da986c56972d
True,STABLE,125500.0,,2,2024-06-08,ok,2230,1697fcdb5c1558cacb9a8d18bffbe25263639570c8181acbc249037950576f7a
False,NONE,,,5,,ok,2223,17f84ad81d529ce2f94ac914b32f996a2fca71002f7ffd712aac400646d6ee47
False,NONE,,,5,,ok,2161,4ca75f63f785ccad10a9483906eb0f1e07726d57429202007c04e8d72a5c6ebb
True,UP,34200.0,,2,2024-12-28,ok,2199,7307cf7a28b3949020f186db8e3a90281d2692058f1c0600dff1dac9e1d11b2f
False,NONE,,,5,,ok,2233,25a115cafb2abfeef19af4c41143badfc35ac22b23ce12fbd77eaed9f8d479b7
False,NONE,,,5,,ok,2246,e146144dbdcce79b65b3ec958fa368dd3d041853ac72015cb93d6f237d2a3580
True,UP,100000.0,,2,2024-04-30,ok,2190,c03058766db809df7f0d66361a3033ce9991ce906a8edaa4ad1f5c31d1e3bfe1
True,UP,126200.0,,2,2024-06-07,ok,2213,198f044d2905555390f28076b232781913dc40d10167d89766d909f05e7b18d7
False,NONE,,,5,,ok,2204,c56f4fea5dca577137cfebc82d5b5f6e2817e1eb8937ef625d9bbf58b8196125
False,NONE,,,5,,ok,2180,ab521f3b96ea208ae0e69ebd6525a5cd060146bf8658adb6f41a89c900fdc347
False,NONE,,,5,,ok,2203,457cc6c8ccda5370f2ce0ab54ac0993424edd029f061c2f3dc8998915cefacb4
False,NONE,,,5,,ok,2034,7a947d3fffde05688fcc3f5f8ed3a1129efcfc7a507cc0989f4c88b458ffdf09
False,NONE,,,5,,ok,2161,c474d3d593f4d72d438aca688e13ffb5acc7b38e09d79759e890329d4aa13ce7
False,NONE,,,5,,ok,2126,9efb62af87cf0623d3eb26ee76095c7c8a9d6375590cf4548c64e7473525f4aa
True,UP,122900.0,2000.0,1,2024-05-30,ok,2233,58ef9aa1975ed2bb4686d859744502c7a451a9b75fcfb45d0e857b1ce5a8eebc
True,DOWN,115700.0,-17000.0,2,2024-05-28,ok,2177,a71fe78effd284a520248fb3bf1a32f61089a1b1dd5a63ce84f034c2edffb0a1
